Year,Cars,Male,AgeGroup,City,TotalWeightedTrips,TotalWeightedKilometers,WeightedPersons,WeightedAverageTrips,WeightedAvgPartySizeCar,ShareTrips_Walk,ShareTrips_Bike,ShareTrips_Car,ShareTrips_PT,ShareKM_Walk,ShareKM_Bike,ShareKM_Car,ShareKM_PT
2009,0,0,0-17,1,63987.73415,212312.1391,15359.26779,4.166066706,1.898959191,0.419737477,0.368677213,0.050814046,0.160771264,0.078711553,0.294227251,0.198880318,0.428180878
2009,0,0,18-30,0,23014.41739,248021.0205,6278.583632,3.665542858,0.8321711,0.25774218,0.137867185,0.422519675,0.18187096,0.036150177,0.051416356,0.580029713,0.332403754
2009,0,0,18-30,1,459072.9193,3929711.442,118242.2894,3.88247658,1.312986885,0.291490868,0.409143013,0.128484072,0.170882048,0.035729618,0.153425981,0.283706186,0.527138216
2009,0,0,31-55,0,33662.35816,323201.1714,10175.35107,3.308225725,1.100663374,0.373294642,0.23980596,0.234828579,0.152070818,0.029772396,0.066801708,0.507107177,0.396318719
2009,0,0,31-55,1,267891.5273,1816514.266,75124.63501,3.565961116,1.252153424,0.351836356,0.397368309,0.078815161,0.171980173,0.055549187,0.164869544,0.347445773,0.432135497
2009,0,0,56-65,0,21441.17248,253104.9283,6443.028479,3.32780967,1.447562235,0.38557667,0.293169319,0.132764405,0.188489606,0.048305578,0.044903937,0.577153673,0.329636813
2009,0,0,56-65,1,90637.7584,727862.7784,27617.47722,3.281898548,1.717382169,0.31061627,0.296660462,0.088439565,0.304283703,0.040028924,0.100996048,0.496208499,0.362766529
2009,0,0,66+,0,55708.78259,773409.6715,20252.18974,2.750753538,1.472843897,0.504131691,0.116678994,0.254050876,0.125138439,0.023481223,0.021473764,0.788569081,0.166475932
2009,0,0,66+,1,165728.9945,737311.4616,57802.58537,NA,1.514001304,0.431896926,0.201149413,0.092142276,0.274811385,0.099555819,0.11130178,0.28188785,0.507254552
2009,0,1,0-17,0,19699.67608,137858.4443,5917.889101,3.328834952,1.280161913,0.225829115,0.390357413,0.23440944,0.149404033,0.03581111,0.169861744,0.483807112,0.310520034
2009,0,1,0-17,1,37479.27596,262755.8075,12578.77509,2.979564838,2.266135323,0.296396593,0.320787084,0.087920283,0.29489604,0.033043555,0.100680935,0.361145164,0.505130346
